	log2FoldChange	pvalue	padj
ENSG00000163630	4.33065418447492	0.0013704925221137	0.285113966874917
ENSG00000188107	2.00707121122963	0.00139539295847594	0.288127819164708
ENSG00000101213	-1.32690329802386	0.00142450837166768	0.291960904708689
ENSG00000135917	1.52029878023741	0.00145982731859048	0.294831839985986
ENSG00000120645	1.36109227479657	0.0014572819422528	0.294831839985986
ENSG00000244617	-1.71327528473117	0.00147834739293641	0.29640865228375
ENSG00000231298	-2.02297650983408	0.00149091423758195	0.296777741292482
ENSG00000168280	1.14758685200771	0.00151350712473599	0.297344010159363
ENSG00000124507	1.32603846774235	0.00151525192209585	0.297344010159363
ENSG00000203786	-3.2413140963886	0.00153099882031141	0.298318354642229
ENSG00000140873	1.65926750322444	0.00158556547803252	0.304659800081124
ENSG00000063015	2.84135270510202	0.00158204670965032	0.304659800081124
ENSG00000204572	-2.33974740457851	0.00161840111177304	0.308824416287229
ENSG00000143318	-1.82363281121715	0.00167746465444285	0.314705649801219
ENSG00000265160	1.2105173510299	0.00167636421392141	0.314705649801219
ENSG00000111262	2.51015325861933	0.00168334367597602	0.314705649801219
ENSG00000225813	-3.0603379225405	0.00173160740196528	0.317296988112433
ENSG00000118513	1.38082475077893	0.00172247913431746	0.317296988112433
ENSG00000176244	1.79831055648433	0.00171938271543882	0.317296988112433
ENSG00000234975	-3.27052814410434	0.001779745952712	0.321854841605153
ENSG00000188488	-2.68123700646597	0.00177470292361187	0.321854841605153
ENSG00000283511	-1.82028182736848	0.00179837190222558	0.323111377679738
ENSG00000088992	-1.78217376028347	0.00183557442965945	0.327667799317725
ENSG00000117410	-0.500766742615728	0.00188007169913118	0.332549449536651
ENSG00000228613	-2.22966495729053	0.00191321980396195	0.332549449536651
ENSG00000239731	-2.58758104574378	0.00190821401086427	0.332549449536651
ENSG00000198723	1.65921261409642	0.00192301535747097	0.332549449536651
ENSG00000128266	1.30570498256728	0.00191130779826983	0.332549449536651
ENSG00000164061	1.14312344489449	0.00197142948603386	0.338804238814104
ENSG00000162391	-2.83758361641438	0.00218329952829222	0.35077421204726
ENSG00000215869	-3.8597996239916	0.00205838895488864	0.35077421204726
ENSG00000261654	-0.996517826629656	0.0021729055949709	0.35077421204726
ENSG00000073734	-2.1563332027707	0.00215093844556152	0.35077421204726
ENSG00000172139	1.67768039735647	0.00223691455559934	0.35077421204726
ENSG00000172020	1.63176506493736	0.00224392047173245	0.35077421204726
ENSG00000047662	-1.90128151404471	0.00221608121077334	0.35077421204726
ENSG00000112139	1.29082214191264	0.00214689485375076	0.35077421204726
ENSG00000005073	-2.76535750985365	0.00219203603891398	0.35077421204726
ENSG00000042832	-1.36244346533995	0.00224024787034891	0.35077421204726
ENSG00000175592	-1.5571804594722	0.0022105290244726	0.35077421204726
ENSG00000149968	-2.21868658003725	0.00221401783470575	0.35077421204726
ENSG00000149948	-1.66166588688153	0.00219366197386552	0.35077421204726
ENSG00000062038	-1.20743876767623	0.00218583240772612	0.35077421204726
ENSG00000179477	-2.45469054188779	0.00217722123653892	0.35077421204726
ENSG00000178150	-1.63857577581153	0.00221923931429208	0.35077421204726
ENSG00000118137	-3.20147374024882	0.00228099530688294	0.35456662441654
ENSG00000147488	1.51331270046615	0.00229859056743168	0.355305600057358
ENSG00000115598	-1.12748617897936	0.00232846987824434	0.355947143984214
ENSG00000205832	1.40975128867657	0.0023245482325514	0.355947143984214
ENSG00000142748	1.71792295818747	0.0023481086871788	0.356852646825839
ENSG00000226057	-4.12126564568569	0.0023601877324489	0.356852646825839
ENSG00000186487	4.59629887169153	0.0024009937456782	0.361049434506359
ENSG00000171954	-2.38472965930145	0.00249543383745144	0.373222480261859
ENSG00000201321	-2.61420706902698	0.00253958209847431	0.377783317648848
ENSG00000197748	1.66473512670197	0.00255476132451378	0.378009043251186
ENSG00000144730	-0.96454811015587	0.0026077119907781	0.383285726948531
ENSG00000219891	-0.974663946621486	0.0026181286780611	0.383285726948531
ENSG00000244607	1.31148298405936	0.00270947455364596	0.390229944127064
ENSG00000254632	3.31577265972659	0.00271127798239429	0.390229944127064
ENSG00000166557	-0.412873989818928	0.00272197691338766	0.390229944127064
ENSG00000105141	-3.59977141578819	0.00270526590020884	0.390229944127064
ENSG00000146242	-0.812044893202398	0.00276524662898949	0.394389736997476
ENSG00000136688	-2.77523246288258	0.00279394211883214	0.39441624737738
ENSG00000103269	1.17571550754651	0.00278429987413744	0.39441624737738
ENSG00000142623	-2.71618467492724	0.00285897402259844	0.399781163308861
ENSG00000266420	-1.21251232133237	0.00286084319401332	0.399781163308861
ENSG00000260278	-1.49921636143768	0.00288381817538288	0.40096665876718
ENSG00000164675	1.36295743092107	0.0029331654735732	0.40202977792464
ENSG00000227877	1.9502208564042	0.00293505421738325	0.40202977792464
ENSG00000258651	1.60475213310071	0.00292070674861798	0.40202977792464
ENSG00000172867	-3.36860254793787	0.00296627359726754	0.402542701850298
ENSG00000243704	-1.19868347652304	0.0029678958826651	0.402542701850298
ENSG00000226673	2.70709881976965	0.00302083293616228	0.405744788886767
ENSG00000166342	-1.99048093369502	0.00301899063207615	0.405744788886767
ENSG00000180660	2.17633584643257	0.00306834939900905	0.410136036334209
ENSG00000179915	2.13116111319247	0.00310495262012633	0.413033336760939
