logFC	P.Value	adj.P.Val	sig_adjP_lfc1	sig_pval_lfc1	sig_adjP_lfc2	sig_pval_lfc2	sig_adjP_lfc3	sig_pval_lfc3
RPL4	0.459845125781009	0.0341962040794946	0.971395001212652	-	-	-	-	-	-
AK4	0.941216059737789	0.0344592984611932	0.971395001212652	-	-	-	-	-	-
SCARA3	1.52016416142492	0.0345120040269569	0.971395001212652	-	+	-	-	-	-
ANO10	0.548340775576642	0.0345124090681693	0.971395001212652	-	-	-	-	-	-
RPL6	0.367436004621867	0.0348899041237449	0.971395001212652	-	-	-	-	-	-
PIGP	0.741532845172565	0.0351053116059006	0.971395001212652	-	-	-	-	-	-
NUPR1	1.22728993679453	0.0351174260827396	0.971395001212652	-	+	-	-	-	-
TAF9	-0.578642698964647	0.0356669168221615	0.971395001212652	-	-	-	-	-	-
ATP5PF	0.613096182428999	0.0362837874100867	0.971395001212652	-	-	-	-	-	-
LSM6	-0.688271414244043	0.0365162357630697	0.971395001212652	-	-	-	-	-	-
KTN1	0.530415460049878	0.0365660531731728	0.971395001212652	-	-	-	-	-	-
HLTF	0.754523522446934	0.0373375535569914	0.971395001212652	-	-	-	-	-	-
POLR2H	-0.510999521886369	0.0373769904510528	0.971395001212652	-	-	-	-	-	-
PIN4	-0.457413518772493	0.0378116619068361	0.971395001212652	-	-	-	-	-	-
AIDA	-0.56974986712903	0.0379730599163073	0.971395001212652	-	-	-	-	-	-
MRPS7	0.620082506726401	0.0381887305701839	0.971395001212652	-	-	-	-	-	-
HSPBP1	0.567819904637512	0.0383032968294352	0.971395001212652	-	-	-	-	-	-
PWP1	0.472572979418811	0.0385906210322921	0.971395001212652	-	-	-	-	-	-
EIF2B1	0.561398624719121	0.0390723724706662	0.971395001212652	-	-	-	-	-	-
HMGCL	0.548923236874361	0.0392363330908739	0.971395001212652	-	-	-	-	-	-
SALL2	-1.03703478138504	0.0404124292098295	0.971395001212652	-	+	-	-	-	-
RRP9	0.64193451271026	0.0408780243951438	0.971395001212652	-	-	-	-	-	-
AXIN1	0.456472389894697	0.0408917554353015	0.971395001212652	-	-	-	-	-	-
CERT1	-0.718536071346176	0.0410477925004491	0.971395001212652	-	-	-	-	-	-
ACTR10	0.519477559984605	0.0411717793588763	0.971395001212652	-	-	-	-	-	-
CDKN1B	0.940243664477649	0.0415760944388641	0.971395001212652	-	-	-	-	-	-
RITA1	0.496299684683289	0.0418028101386505	0.971395001212652	-	-	-	-	-	-
ENPP2	1.38473736434407	0.0422750020263938	0.971395001212652	-	+	-	-	-	-
SYNGR2	0.435042573521762	0.0427305949130523	0.971395001212652	-	-	-	-	-	-
CTNND1	-0.42527886783009	0.0429248025760835	0.971395001212652	-	-	-	-	-	-
ATP1B1	-0.942394940784821	0.0430648609716179	0.971395001212652	-	-	-	-	-	-
MYL9	0.667053054109206	0.0431875635006554	0.971395001212652	-	-	-	-	-	-
TUSC2	0.460347034537171	0.0434823573528286	0.971395001212652	-	-	-	-	-	-
INPP5A	-0.872906714116872	0.0438225774653895	0.971395001212652	-	-	-	-	-	-
MRPL58	0.640456831760134	0.0443186961230431	0.971395001212652	-	-	-	-	-	-
RNF146	-0.599927513806244	0.0446745565647652	0.971395001212652	-	-	-	-	-	-
SPRY4	-1.20885391109405	0.045130228367865	0.971395001212652	-	+	-	-	-	-
NDUFA1	0.454899646193209	0.0456873289262322	0.971395001212652	-	-	-	-	-	-
SORT1	-0.865119496679757	0.0457010680408141	0.971395001212652	-	-	-	-	-	-
ATG14	0.586133046885804	0.0457780375212737	0.971395001212652	-	-	-	-	-	-
SBNO2	-0.720036800281549	0.0457910570621427	0.971395001212652	-	-	-	-	-	-
COX5A	0.528985142080664	0.0460140008000859	0.971395001212652	-	-	-	-	-	-
F2RL1	-0.713841695477605	0.0465767085223556	0.971395001212652	-	-	-	-	-	-
KIF2A	-0.698377982771521	0.0466446196518327	0.971395001212652	-	-	-	-	-	-
PTGDS	1.33181856390671	0.0472584002985604	0.971395001212652	-	+	-	-	-	-
S100A9	-2.38813812308631	0.0478979108196879	0.971395001212652	-	+	-	+	-	-
SLC30A9	0.683672896834071	0.0480447815840463	0.971395001212652	-	-	-	-	-	-
EOLA2	-0.456941780876349	0.0482971097332335	0.971395001212652	-	-	-	-	-	-
WASF2	0.56915001284787	0.0486822723525427	0.971395001212652	-	-	-	-	-	-
KLK5	2.34911378215231	0.0487649643742609	0.971395001212652	-	+	-	+	-	-
RASA1	0.677116628748979	0.0489850860640193	0.971395001212652	-	-	-	-	-	-
RRM1	-0.841588830205221	0.049133862143143	0.971395001212652	-	-	-	-	-	-
ERCC3	-0.513742542158815	0.049374640638878	0.971395001212652	-	-	-	-	-	-
PPP1CC	0.424569914146743	0.0495230373230441	0.971395001212652	-	-	-	-	-	-
SLC20A1	-0.708694370908817	0.0496109894090312	0.971395001212652	-	-	-	-	-	-
IFRD2	0.576210132994213	0.0496634046486702	0.971395001212652	-	-	-	-	-	-
ZNF580	0.66690961942918	0.0496894573110194	0.971395001212652	-	-	-	-	-	-
TOR1A	-0.370716660204033	0.0501323787312158	0.971395001212652	-	-	-	-	-	-
SLC25A14	-0.457625807849557	0.0502033103593999	0.971395001212652	-	-	-	-	-	-
LMNB2	-0.673755096172772	0.0503864925131591	0.971395001212652	-	-	-	-	-	-
SEPTIN10	-0.707685871809628	0.0507037464296771	0.971395001212652	-	-	-	-	-	-
WBP2	0.589238200536554	0.0510710227065445	0.971395001212652	-	-	-	-	-	-
ECHDC3	0.958003798055827	0.0518735961234576	0.971395001212652	-	-	-	-	-	-
UGP2	-0.307813830070215	0.051979089096059	0.971395001212652	-	-	-	-	-	-
RPL9	0.272315696951963	0.0520194295033705	0.971395001212652	-	-	-	-	-	-
HLA-F	-0.889282268356998	0.0530596825544979	0.971395001212652	-	-	-	-	-	-
UBE2L3	-0.564383387384202	0.0530615381439398	0.971395001212652	-	-	-	-	-	-
RAD1	-0.485583067428555	0.0532292909337809	0.971395001212652	-	-	-	-	-	-
TPST2	-0.948943487962379	0.0536993770142809	0.971395001212652	-	-	-	-	-	-
ELOC	-0.581349537098282	0.0537666903570475	0.971395001212652	-	-	-	-	-	-
CLPX	0.610842277605329	0.0546297926412545	0.971395001212652	-	-	-	-	-	-
RPL11	0.295106487818941	0.0547477828848235	0.971395001212652	-	-	-	-	-	-
WWTR1	0.484383175926658	0.0549158940042947	0.971395001212652	-	-	-	-	-	-
ITM2C	-1.44069878653619	0.055487468344268	0.971395001212652	-	-	-	-	-	-
PREB	0.445296054250562	0.055772690450914	0.971395001212652	-	-	-	-	-	-
DEF8	-0.616140637785944	0.0566801009753627	0.971395001212652	-	-	-	-	-	-
TNFRSF12A	-0.86555928810212	0.0568362590779149	0.971395001212652	-	-	-	-	-	-
RHOT2	0.391359455922817	0.0570460971553186	0.971395001212652	-	-	-	-	-	-
TPI1	0.46802901456246	0.0579789377009793	0.971395001212652	-	-	-	-	-	-
PLXND1	-0.380328577413313	0.0582131275372307	0.971395001212652	-	-	-	-	-	-
MIIP	0.368387039564698	0.0582358648045651	0.971395001212652	-	-	-	-	-	-
SNRPD1	-0.488097323288217	0.0584755841901671	0.971395001212652	-	-	-	-	-	-
WDTC1	0.352439111321157	0.0585007577586585	0.971395001212652	-	-	-	-	-	-
DECR2	0.472619825112215	0.0587857083131694	0.971395001212652	-	-	-	-	-	-
RRP1B	0.336658094394785	0.0588928418424663	0.971395001212652	-	-	-	-	-	-
AKAP1	0.503776001457857	0.0594665952609106	0.971395001212652	-	-	-	-	-	-
MCM3	-0.698740914126786	0.0598472917672705	0.971395001212652	-	-	-	-	-	-
DDX23	-0.546497339706759	0.0601924211885354	0.971395001212652	-	-	-	-	-	-
ATP13A3	-0.5529766113852	0.0602480822453426	0.971395001212652	-	-	-	-	-	-
ACP5	-0.861428767885308	0.060374116306601	0.971395001212652	-	-	-	-	-	-
DHPS	0.505362162525922	0.0606812022181017	0.971395001212652	-	-	-	-	-	-
CD81	0.418005467569658	0.061455617321917	0.971395001212652	-	-	-	-	-	-
NAT9	0.430065467725271	0.0616571647178253	0.971395001212652	-	-	-	-	-	-
SLC22A18	-0.650788885814366	0.0617574805714383	0.971395001212652	-	-	-	-	-	-
LPAR2	0.49119038048135	0.0618294396792322	0.971395001212652	-	-	-	-	-	-
NABP2	-0.597798909038142	0.0619277669633898	0.971395001212652	-	-	-	-	-	-
IRAK1	-0.725276984366978	0.0620062673963398	0.971395001212652	-	-	-	-	-	-
KDM1A	0.55352496689378	0.062044204711594	0.971395001212652	-	-	-	-	-	-
PRPSAP1	0.43197694149265	0.062083112326212	0.971395001212652	-	-	-	-	-	-
SH2B2	-0.668916115523624	0.0622377369413016	0.971395001212652	-	-	-	-	-	-
PMM2	-0.505256840678323	0.0625163663946975	0.971395001212652	-	-	-	-	-	-
ZNF185	-0.786584950559958	0.0628337827151281	0.971395001212652	-	-	-	-	-	-
ZNF419	0.35558136857857	0.0628391236835217	0.971395001212652	-	-	-	-	-	-
H2AZ2	-0.52700182993053	0.0629245461519258	0.971395001212652	-	-	-	-	-	-
BCCIP	-0.615736482300404	0.0630140470359673	0.971395001212652	-	-	-	-	-	-
SRP9	-0.379714819231555	0.063398219243042	0.971395001212652	-	-	-	-	-	-
VPS11	0.342067367720564	0.0634347469159	0.971395001212652	-	-	-	-	-	-
HAT1	-0.578361388134769	0.063448203857775	0.971395001212652	-	-	-	-	-	-
OCRL	-0.389748867145407	0.0635267268580019	0.971395001212652	-	-	-	-	-	-
ZNF330	-0.502446258174806	0.0639621755835122	0.971395001212652	-	-	-	-	-	-
NFE2L1	0.433969320751151	0.0641711007062352	0.971395001212652	-	-	-	-	-	-
MRM2	-0.509570635333499	0.0645633752542797	0.971395001212652	-	-	-	-	-	-
COPS7A	0.666133240823309	0.0646626842259183	0.971395001212652	-	-	-	-	-	-
ATP5F1C	0.476203425504262	0.0646692985387649	0.971395001212652	-	-	-	-	-	-
RNF138	-0.691891101395947	0.0652175353813496	0.971395001212652	-	-	-	-	-	-
TOMM40	0.559811123199226	0.0657106846004503	0.971395001212652	-	-	-	-	-	-
GYPC	0.537439244326157	0.0658989430056413	0.971395001212652	-	-	-	-	-	-
HSPA4	-0.516303912794869	0.0664771134505057	0.971395001212652	-	-	-	-	-	-
NSA2	-0.560147398642655	0.0668635502881892	0.971395001212652	-	-	-	-	-	-
DOK5	1.39835502564363	0.0671374762060504	0.971395001212652	-	-	-	-	-	-
EIF3A	-0.607319243363974	0.0674292954457074	0.971395001212652	-	-	-	-	-	-
NONO	-0.414995726931343	0.068350297508771	0.971395001212652	-	-	-	-	-	-
RFX5	-0.552936460331946	0.069108078609192	0.971395001212652	-	-	-	-	-	-
LSM7	-0.470834899149195	0.0695755245187669	0.971395001212652	-	-	-	-	-	-
PINK1	0.461807916280175	0.0696415714601756	0.971395001212652	-	-	-	-	-	-
RPL21	0.345374297421107	0.0700028637203726	0.971395001212652	-	-	-	-	-	-
ATP5IF1	0.526329688506065	0.0700941419322727	0.971395001212652	-	-	-	-	-	-
DGLUCY	0.414833865912986	0.0701528260866832	0.971395001212652	-	-	-	-	-	-
TYK2	0.4844977110555	0.0706584417973797	0.971395001212652	-	-	-	-	-	-
ROCK2	-0.404038602165563	0.0710193267516638	0.971395001212652	-	-	-	-	-	-
ACBD3	-0.626842943817521	0.0711920183665866	0.971395001212652	-	-	-	-	-	-
DGCR2	-0.412226910906521	0.0712098384797629	0.971395001212652	-	-	-	-	-	-
ALDH2	1.00483495750406	0.0715136164390724	0.971395001212652	-	-	-	-	-	-
NDUFA13	0.484906729412348	0.0715675637889616	0.971395001212652	-	-	-	-	-	-
ID1	-1.42297469206384	0.0717573741935569	0.971395001212652	-	-	-	-	-	-
MYL12A	-0.456532380163444	0.0719527640027236	0.971395001212652	-	-	-	-	-	-
POLD4	-0.458200272764859	0.072264403878428	0.971395001212652	-	-	-	-	-	-
TTC13	-0.705150955434567	0.0723307077309847	0.971395001212652	-	-	-	-	-	-
HNRNPF	-0.434796161287042	0.0724065976862143	0.971395001212652	-	-	-	-	-	-
SF3B3	0.36072975489963	0.0731903221211624	0.971395001212652	-	-	-	-	-	-
HNRNPA2B1	-0.366397239307915	0.0732530998484677	0.971395001212652	-	-	-	-	-	-
FAT1	-0.943296103903753	0.0732703659233672	0.971395001212652	-	-	-	-	-	-
GJA1	-1.17312782316861	0.0732775762727592	0.971395001212652	-	-	-	-	-	-
CEP57	-0.585352465737365	0.0733755564987847	0.971395001212652	-	-	-	-	-	-
OSBPL3	-0.935529933682881	0.0743966106494492	0.971395001212652	-	-	-	-	-	-
NPTX2	-1.81728804963986	0.0744925978557986	0.971395001212652	-	-	-	-	-	-
SSBP3	0.524883602657279	0.0746970808128656	0.971395001212652	-	-	-	-	-	-
LYN	-0.795891962285675	0.0747464509140813	0.971395001212652	-	-	-	-	-	-
HMGXB4	-0.433556121594568	0.0749518163657188	0.971395001212652	-	-	-	-	-	-
PABPC4	0.605941775100437	0.0750921461939381	0.971395001212652	-	-	-	-	-	-
PSME3IP1	-0.464038078722711	0.0753040093004932	0.971395001212652	-	-	-	-	-	-
CANT1	0.390544108268936	0.0755484729626075	0.971395001212652	-	-	-	-	-	-
MAPK13	-0.735750491769852	0.0756555251602296	0.971395001212652	-	-	-	-	-	-
CHN1	-1.02606098245041	0.0756810236216264	0.971395001212652	-	-	-	-	-	-
